explicable,可解释;可说明;可理解
forensic,法医的;法庭的;
forfeit,罚金，没收物，罚金；(因犯错)丧失，被没收
forfeiture,丧失;没收
forlorn,孤独的，凄凉的
forswear,誓绝，放弃abjure，
recant,公开宣布放弃(原先的信仰、观点等)
retract,撤销，收回(说过的话);撤回，收回(协议、承诺等);
fort,要塞;堡垒;城堡;
fractional,很小的;很少的;微不足道的;分数的;小数的
fraternal,(指志趣相投者)兄弟般的，亲如手足的;兄弟间的of, relating to, or involving brothers
fraternity,群体，同人;同好;情谊，兄弟般友谊，博爱
fray,磨损，磨散;
freak,狂热爱好者;
fritter,浪费;细切;剁碎;减少;消散fritter sth↔away (on sth)
frolic,嬉戏;嬉闹
frolicsome,嬉戏的;欢闹的
frowzy,stale 陈腐的
fructify,使结果实，使肥沃，富有成果;结果实，有成果
funereal,适于葬礼的;悲伤的
furbish,研磨；磨光；擦亮；
gabble,急促而含混不清地说 jabber
gaiety,快乐;愉快;高兴
gale,大风;飓风;
gallop,(马等)飞奔，奔驰，
gangly,瘦高而笨拙的
garland,花环;花冠;环状花饰
gastric,胃的;胃部的
gastritis,胃炎
gauche,笨拙的;不善社交的;
lean,肉少的;瘦且健康的;脂肪少的;无脂肪的;
spare,瘦的；瘦高的
lank, implies tallness as well as leanness.
lanky,瘦长(或胳膊、腿细长)而行动笨拙的
rawboned,骨瘦如柴的
scrawny,干瘦的;瘦巴巴的 exceptionally thin and slight or meager in body or size
skinny,极瘦的;干瘦的;皮包骨的;
gaunt,瘦削憔悴的;寒碜的;破败的
gestate,怀孕;妊娠;孕育 to conceive and gradually develop in the mind
gesticulate,做手势;用手势表达;
ghastly,(因有关疼痛、死亡等而)恐怖的，可怕的，令人毛骨悚然的;
girdle,围绕物;腰带
glamorous,特别富有魅力的;富于刺激的;独特的
gleam,发微光;隐约闪光;闪烁;
glee,欢喜;高兴;幸灾乐祸
glitter,闪亮;闪耀;光彩夺目;
glorify,吹捧，美化
gnaw,咬;啃;啮
gnawing,折磨人的，令人痛苦的
gnome,精言，格言MAXIM  APHORISM
gnomic,格言的，精辟的
gorgeous,美丽的，极好的
gormand,美食家
gormandize,贪吃
gosling,小鹅，年少无知的人
granary,谷仓
granule,小粒，微粒
gratis,免费的
greenhorn,初学者，易上当者
grotesque,怪诞的，古怪的
growl,咆哮 (at sb/sth)
grudge,吝啬，不满;勉强做；不情愿地给；吝惜 
ghastly, suggests the terrifying aspects of corpses and ghosts.  a ghastly accident
macabre,implies a morbid preoccupation with the physical aspects of death.  a macabre tale of premature burial 
grisly,The jurors saw grisly photos of the crime scene.
gruesome,令人毛骨悚然的inspiring horror or repulsion : GRISLY ；The police report described the scene in gruesome detail.
gruff,低沉粗哑的;生硬的;冷淡的;态度生硬的
grumpy,漆皮暴躁的choleric surly
gull,海鸥；欺骗
gutless,怯懦的
guttle,狼吞虎咽devour raven
habitable,可居住的
haggard,not tamed;wild in appearance;消瘦的
haggle,争论;(尤指)讲价~ (with sb) (over sth)
hamstring,妨碍;使不能正常工作(或行动)The mayor tried to hamstring our efforts by cutting the budget.
hardbitten,久经磨练而坚强的
hassle,困难;麻烦;(不断)烦扰，麻烦
hawser,缆索，钢缆
hawker,小贩
hawk,鹰
hearsay,道听途说;传闻
heave,(用力)举起，拖，拉，抛;
hedgehog,刺猬
